model,volatile_MAE,volatile_RMSE,n_volatile,stable_MAE,stable_RMSE,n_stable,overall_MAE,overall_RMSE,n_overall
naive_zero,0.008559368784584794,0.01078450295654676,44,0.005742033898819419,0.007563227831405541,238,0.006185959976469586,0.008123078622544043,501
baseline,0.008660511456281711,0.01091160133919608,44,0.005642818562194431,0.0074584250616865,238,0.006137991756054805,0.008093566858063672,501
fast,0.008520086504041959,0.010723084519197389,44,0.005848246978132381,0.00767530043735548,238,0.006268132855103736,0.008191004900877076,501
medium,0.008550817667287307,0.010767319869765628,44,0.005782485393120134,0.007596123765254905,238,0.006214547061088688,0.008142747641791192,501
slow,0.008567776407682177,0.010804245325446504,44,0.005733073752257915,0.007543448073468873,238,0.006175033725066786,0.008111815659187959,501
