model,volatile_MAE,n_volatile,stable_MAE,n_stable,overall_MAE,n_overall
naive_zero,0.0055989048194321,9,0.005171950993542366,12,0.005198441161110467,24
baseline,0.0031693488598434636,9,0.0017629246124088345,12,0.002201631030736886,24
fast,0.004535541152585445,9,0.004114694670239398,12,0.004138132894061863,24
medium,0.0033438918498532055,9,0.0021342583915349134,12,0.0025755796658865535,24
slow,0.0032624210212381455,9,0.0020856527527328248,12,0.0025039249455494866,24
