strategy,fee_rate,n_trades,cumulative_return,annualized_sharpe,max_drawdown,mean_daily_net_return
buy_and_hold,0.0005,1,7.136345339518412,0.841969722072724,-0.7663456370856881,0.001387707217852491
baseline,0.0005,733,1.5137650596840042,0.5381480389764955,-0.8332393263813954,0.0007886143130409358
decay_selected,0.0005,23,2.2447508755457064,0.607830491201983,-0.7807802463512665,0.0009580973353549232
ma_signal,0.0005,56,6.134231028957521,0.9300257388097319,-0.5819588303131615,0.0010663556082936578
buy_and_hold,0.001,1,7.132278850514066,0.8418416618697914,-0.7663456370856883,0.0013874965141019643
baseline,0.001,733,0.7418113974314189,0.43266062601831,-0.8436095521320974,0.0006341684639048212
decay_selected,0.001,23,2.207566858825631,0.6047470759608876,-0.7823057145458825,0.0009532511490928078
ma_signal,0.001,56,5.936505260456535,0.9196312435603545,-0.5861295562697891,0.0010545561982641593
buy_and_hold,0.0025,1,7.12007938350081,0.8414569452116748,-0.7663456370856881,0.0013868644028503841
baseline,0.0025,733,-0.4211697987956887,0.11642579439801519,-0.8710338043626409,0.0001708309164964772
decay_selected,0.0025,23,2.09844449231315,0.595487920294828,-0.7868231842742298,0.0009387125903064614
ma_signal,0.0025,56,5.3750641798948955,0.8883979139154466,-0.5994081526484207,0.0010191579681756637
buy_and_hold,0.005,1,7.099746938478788,0.8408139664233957,-0.7663456370856883,0.0013858108840977502
baseline,0.005,733,-0.9080541329533498,-0.4085951222705523,-0.9661186884127608,-0.0006013983291840958
decay_selected,0.005,23,1.9244216388833042,0.5800277774785195,-0.7941593450989181,0.0009144816589958842
ma_signal,0.005,56,4.536915401576121,0.8361991646381995,-0.6209859196190703,0.0009601609180281711
