date,window_start,actual_return,baseline_pred,selected_pred,ma_linear_pred,baseline_err,selected_err,ma_linear_err,baseline_correct,selected_correct,ma_signal_correct
2020-01-01,2020-01-01,0.0091901781655832,0.00014181471024508023,0.0009131411355426098,-0.0002921940604197589,0.00904836345533812,0.00827703703004059,0.009482372226002959,True,True,False
2020-01-02,2020-01-01,-0.0259309702014876,-0.0010442997657252328,-7.206085069802937e-05,-0.0002932693262544666,0.024886670435762367,0.02585890935078957,0.025637700875233132,True,True,True
2020-01-03,2020-01-01,0.0530689781685611,0.0014733600211176668,0.0009770602234116122,-0.0002941471705072913,0.05159561814744343,0.05209191794514949,0.05336312533906839,True,True,False
2020-01-04,2020-01-01,0.0066903769863495,-0.00047728499300363084,0.00016848568804241678,-0.00029623038093563154,0.00716766197935313,0.006521891298307083,0.006986607367285132,False,True,False
2020-01-05,2020-01-01,0.0089392047317267,-0.005233205155289158,0.0010004543747379171,-0.00029799260255511086,0.014172409887015857,0.007938750356988782,0.00923719733428181,False,True,False
2020-01-06,2020-01-01,0.0589049309514517,0.004361089233424916,0.001276603468864182,-0.00030220491808725936,0.054543841718026786,0.05762832748258752,0.05920713586953896,True,True,False
2020-01-07,2020-01-01,-0.0052677787532923,-0.0013258238270910639,0.000340865321283316,-0.0003100950189364079,0.0039419549262012365,0.005608644074575616,0.004957683734355892,True,False,True
2020-01-08,2020-01-01,-0.0159244433497861,0.008249816356683117,0.002009173817504582,-0.0003153233674431642,0.024174259706469216,0.01793361716729068,0.015609119982342936,False,False,True
2020-01-09,2020-01-01,-0.0161330934843807,0.010650228099955937,0.0014355781580084835,-0.00032086405695289566,0.026783321584336637,0.017568671642389184,0.015812229427427806,False,False,True
2020-01-10,2020-01-01,0.0358656063844422,-0.005383657933125215,0.00019552365211478705,-0.00032606071723985093,0.04124926431756742,0.03567008273232741,0.036191667101682055,False,True,False
2020-01-11,2020-01-01,-0.0072008869283006,-0.005382738889567791,0.0003452448074644915,-0.00033100189422431226,0.001818148038732809,0.007546131735765091,0.006869885034076288,True,False,True
2020-01-12,2020-01-01,0.0206176641057616,0.011512995545799518,0.0013449643815725961,-0.0003339443589257421,0.009104668559962083,0.019272699724189005,0.020951608464687344,True,True,False
2020-01-13,2020-01-01,-0.0112928941168791,0.00010217608928936853,0.000667041478232348,-0.00033838948004455405,0.011395070206168468,0.011959935595111448,0.010954504636834545,False,False,True
