date,window_start,actual_return,baseline_pred,selected_pred,ma_linear_pred,baseline_err,selected_err,ma_linear_err,baseline_correct,selected_correct,ma_signal_correct
2020-01-01,2020-01-01,0.0009140341575637,0.007199135143985374,0.0030279533461055486,0.0020588070823664125,0.006285100986421674,0.0021139191885418485,0.0011447729248027123,True,True,False
2020-01-02,2020-01-01,-0.0298192921625907,0.0014499989927210016,0.0025761233396027427,0.0020995598145260603,0.0312692911553117,0.03239541550219344,0.03191885197711676,False,False,True
2020-01-03,2020-01-01,0.0514516634451127,-0.00245961909118225,0.002664400083403844,0.0021292389684752586,0.05391128253629495,0.048787263361708855,0.04932242447663744,False,True,False
2020-01-04,2020-01-01,0.0089548668779415,0.0017903182996723143,0.0028110244627616125,0.0021824449296128806,0.007164548578269186,0.006143842415179887,0.0067724219483286194,True,True,False
2020-01-05,2020-01-01,8.914790612779555e-05,-0.0001578626674944455,0.0020082437268087987,0.002230904357598159,0.00024701057362224105,0.0019190958206810032,0.0021417564514703636,False,True,False
2020-01-06,2020-01-01,0.0482912601069758,0.0072584253100097884,0.003215772466171577,0.0022970763253937726,0.04103283479696601,0.04507548764080422,0.04599418378158203,True,True,False
2020-01-07,2020-01-01,0.0507738464358893,0.006414325551559689,0.0025122189621742536,0.0024009311067874468,0.04435952088432961,0.04826162747371505,0.04837291532910185,True,True,False
2020-01-08,2020-01-01,-0.0102685875352482,0.0017632023464173815,0.002291061443856407,0.002468785061133617,0.012031789881665582,0.012559648979104608,0.012737372596381817,False,False,True
2020-01-09,2020-01-01,-0.0248508556458387,0.008687095717051181,0.003160580478071761,0.00253542571036365,0.03353795136288988,0.028011436123910462,0.02738628135620235,False,False,False
2020-01-10,2020-01-01,0.0364869030383474,0.00048162978953946497,0.003049555196078263,0.0025871675479742814,0.03600527324880794,0.03343734784226914,0.033899735490373124,True,True,True
2020-01-11,2020-01-01,-0.0157981687765988,0.0019572206184411472,0.0025448803394856907,0.0026419986097489787,0.01775538939503995,0.01834304911608449,0.01844016738634778,False,False,False
2020-01-12,2020-01-01,0.0192791064534409,-0.00017707773058824126,0.0025301139673177104,0.0026581309407230995,0.01945618418402914,0.01674899248612319,0.016620975512717802,False,True,True
2020-01-13,2020-01-01,-0.0058956166288836,0.00799244820656533,0.003366424025501085,0.0026948600340612736,0.01388806483544893,0.009262040654384684,0.008590476662944874,False,False,False
2020-01-14,2020-01-01,0.0839334480862816,0.0025722795514890907,0.0022142504690150053,0.0027215511986097662,0.08136116853479251,0.08171919761726659,0.08121189688767183,True,True,True
2020-01-15,2020-01-01,-0.0023509809194645,0.0014359799637840797,0.002721995254499181,0.00278292237696787,0.00378696088324858,0.005072976173963681,0.00513390329643237,False,False,False
2020-01-16,2020-01-01,-0.0094498135418793,0.0027609292555165936,0.0023022181446165674,0.0028475498085591853,0.012210742797395892,0.011752031686495867,0.012297363350438486,False,False,False
2020-01-17,2020-01-01,0.0235278524714164,0.007196716348946717,0.0035491605577694578,0.0029137890306275963,0.016331136122469683,0.019978691913646943,0.020614063440788803,True,True,True
2020-01-18,2020-01-01,0.0015422162701026,0.002808097204085137,0.0024791365807951657,0.002984009090880219,0.0012658809339825372,0.0009369203106925658,0.001441792820777619,True,True,True
2020-01-19,2020-01-01,-0.0264529285271554,-0.004922228658310826,0.0024556120842709936,0.0030557103788698197,0.021530699868844573,0.028908540611426392,0.02950863890602522,True,False,False
2020-01-20,2020-01-01,-0.0055824914654137,0.007230580609529504,0.003378926601625315,0.003120841001272426,0.012813072074943203,0.008961418067039015,0.008703332466686125,False,False,False
2020-01-21,2020-01-01,0.0101935315911496,0.002021802584254464,0.0026589545716582067,0.0031862458309940118,0.008171729006895136,0.0075345770194913935,0.007007285760155588,True,True,True
2020-01-22,2020-01-01,-0.0074341800550168,0.002983994192414951,0.0024688953197818503,0.003251224426071817,0.010418174247431751,0.00990307537479865,0.010685404481088616,False,False,False
2020-01-23,2020-01-01,-0.0316051458750529,0.006128994089811017,0.00277980097345539,0.003327927958468981,0.03773413996486392,0.03438494684850829,0.03493307383352188,False,False,False
2020-01-24,2020-01-01,0.0046296167221482,0.009053141562076511,0.003012336521812327,0.0033666616419149183,0.004423524839928311,0.0016172802003358733,0.0012629550802332819,True,True,True
2020-01-25,2020-01-01,-0.0091868468598684,0.005689131618880008,0.00268280094031665,0.0034080144497695645,0.014875978478748409,0.01186964780018505,0.012594861309637965,False,False,False
2020-01-26,2020-01-01,0.027364554337216,0.00138705685660009,0.002424340318684213,0.003449063537868966,0.02597749748061591,0.02494021401853179,0.023915490799347034,True,True,True
2020-01-27,2020-01-01,0.0364075193958892,0.0026576636505215743,0.0028845206681695234,0.0034745656305663775,0.03374985574536763,0.03352299872771968,0.03293295376532283,True,True,True
2020-01-28,2020-01-01,0.0503680816514873,0.0007518675141888456,0.002301691264259915,0.0034852940541738537,0.04961621413729845,0.04806639038722738,0.046882787597313444,True,True,True
2020-01-29,2020-01-01,-0.0044835772950903,0.00014309524061953448,0.0025240764497213215,0.003513845165076836,0.004626672535709834,0.007007653744811621,0.007997422460167136,False,False,False
