model,financial_MAE,financial_RMSE,consumer_MAE,consumer_RMSE
naive_zero,0.00618596783315106,0.00812308386950567,0.005198441161110467,0.006237000421499075
baseline,0.0061541835873574705,0.008099068964302819,0.0021916075863071967,0.003469268306937147
fast,0.006276086479290632,0.008197777141252943,0.004140536654532173,0.005384892461127396
medium,0.006215235893344391,0.008143142603948784,0.0025731264568063053,0.003568089449380999
slow,0.006176832217814881,0.008112496570537687,0.0025027802030622615,0.0035315300362647813
