model,volatile_MAE,volatile_RMSE,n_volatile,stable_MAE,stable_RMSE,n_stable,overall_MAE,overall_RMSE,n_overall
naive_zero,0.008447046055441493,0.010460014054853558,62,0.004565802577567987,0.005894733003760281,96,0.00618596783315106,0.00812308386950567,501
baseline,0.008373750752043914,0.01028091446120791,62,0.004534061884824012,0.00592207099713393,96,0.0061541835873574705,0.008099068964302819,501
fast,0.008608085279967247,0.010615504007839902,62,0.0046542427942477095,0.0059517820672914485,96,0.006276086479290632,0.008197777141252943,501
medium,0.008519194699030345,0.010506191168354596,62,0.004594589834224122,0.005909633976910796,96,0.006215235893344391,0.008143142603948784,501
slow,0.008451513652898358,0.010427951956983615,62,0.004554766485387229,0.005891860177331087,96,0.006176832217814881,0.008112496570537687,501
