model,volatile_MAE,n_volatile,stable_MAE,n_stable,overall_MAE,n_overall
naive_zero,0.0055989048194321,9,0.005171950993542366,12,0.005198441161110467,24
baseline,0.0031334006049726156,9,0.0017487036711592242,12,0.0021916075863071967,24
fast,0.004538144458660493,9,0.004116888363877378,12,0.004140536654532173,24
medium,0.0033414604651506737,9,0.0021325040482218266,12,0.0025731264568063053,24
slow,0.003262338155384015,9,0.0020846677892458476,12,0.0025027802030622615,24
