model,overall_MAE,overall_RMSE,volatile_MAE,volatile_RMSE,n_volatile,stable_MAE,stable_RMSE,n_stable
baseline,0.006137991756054805,0.008093566858063672,0.008660511456281711,0.01091160133919608,44,0.005642818562194431,0.0074584250616865,238
fast,0.00627467050250492,0.00819526064691025,0.008514925092436622,0.01071890210817585,44,0.005858191329420739,0.00768354430466341,238
medium,0.0062128692291923675,0.00814530454534466,0.008542013620540351,0.010764461287249226,44,0.005777235402947543,0.007601167222080344,238
slow,0.006174078189494385,0.008116301192437302,0.00856677853443222,0.010803843617963705,44,0.005722732726590862,0.007546644432278239,238
