date,ticker,close,volume
2015-01-02,AAPL,24.192604064941406,212818400
2015-01-05,AAPL,23.511058807373047,257142000
2015-01-06,AAPL,23.51327133178711,263188400
2015-01-07,AAPL,23.84298324584961,160423600
2015-01-08,AAPL,24.759078979492188,237458000
2015-01-09,AAPL,24.785634994506836,214798000
2015-01-12,AAPL,24.174896240234375,198603200
2015-01-13,AAPL,24.38953971862793,268367600
2015-01-14,AAPL,24.296606063842773,195826400
2015-01-15,AAPL,23.637189865112305,240056000
2015-01-16,AAPL,23.453523635864258,314053200
2015-01-20,AAPL,24.057619094848633,199599600
2015-01-21,AAPL,24.241291046142578,194303600
2015-01-22,AAPL,24.871932983398438,215185600
2015-01-23,AAPL,25.000276565551758,185859200
2015-01-26,AAPL,25.026832580566406,222460000
2015-01-27,AAPL,24.150562286376953,382274800
2015-01-28,AAPL,25.51585578918457,585908400
2015-01-29,AAPL,26.310256958007812,337745600
2015-01-30,AAPL,25.92523193359375,334982000
2015-02-02,AAPL,26.250505447387695,250956400
2015-02-03,AAPL,26.254940032958984,207662800
2015-02-04,AAPL,26.456298828125,280598800
2015-02-05,AAPL,26.645137786865234,168984800
2015-02-06,AAPL,26.420759201049805,174826400
2015-02-09,AAPL,26.596261978149414,155559200
2015-02-10,AAPL,27.107210159301758,248034000
2015-02-11,AAPL,27.742578506469727,294247200
2015-02-12,AAPL,28.093582153320312,297898000
2015-02-13,AAPL,28.231313705444336,217088800
2015-02-17,AAPL,28.397926330566406,252609600
2015-02-18,AAPL,28.595645904541016,179566800
2015-02-19,AAPL,28.535661697387695,149449600
2015-02-20,AAPL,28.76892852783203,195793600
2015-02-23,AAPL,29.546463012695312,283896400
2015-02-24,AAPL,29.362075805664062,276912400
2015-02-25,AAPL,28.6112003326416,298846800
2015-02-26,AAPL,28.97330665588379,365150000
2015-02-27,AAPL,28.537891387939453,248059200
2015-03-02,AAPL,28.677839279174805,192386800
2015-03-03,AAPL,28.737823486328125,151265200
2015-03-04,AAPL,28.55565643310547,126665200
2015-03-05,AAPL,28.08246421813965,226068400
2015-03-06,AAPL,28.124677658081055,291368400
2015-03-09,AAPL,28.244638442993164,354114000
2015-03-10,AAPL,27.66037368774414,275426400
2015-03-11,AAPL,27.156085968017578,275756000
2015-03-12,AAPL,27.647052764892578,193450800
2015-03-13,AAPL,27.45600128173828,207309200
2015-03-16,AAPL,27.758119583129883,143497200
2015-03-17,AAPL,28.222423553466797,204092400
2015-03-18,AAPL,28.54010581970215,261083600
2015-03-19,AAPL,28.324615478515625,183238000
2015-03-20,AAPL,27.969175338745117,274780400
2015-03-23,AAPL,28.260194778442383,150838800
2015-03-24,AAPL,28.14467430114746,131369200
2015-03-25,AAPL,27.409337997436523,206620800
2015-03-26,AAPL,27.60039520263672,190291600
2015-03-27,AAPL,27.380468368530273,158184800
2015-03-30,AAPL,28.07358741760254,188398800
2015-03-31,AAPL,27.642614364624023,168362400
2015-04-01,AAPL,27.602617263793945,162485600
2015-04-02,AAPL,27.84032440185547,128880400
2015-04-06,AAPL,28.291292190551758,148776000
2015-04-07,AAPL,27.993608474731445,140049200
2015-04-08,AAPL,27.902530670166016,149316800
2015-04-09,AAPL,28.11579704284668,129936000
2015-04-10,AAPL,28.235754013061523,160752000
2015-04-13,AAPL,28.180219650268555,145460400
2015-04-14,AAPL,28.058034896850586,102098400
2015-04-15,AAPL,28.1646671295166,115881600
2015-04-16,AAPL,28.029157638549805,113476000
2015-04-17,AAPL,27.71369743347168,207828000
2015-04-20,AAPL,28.34682846069336,188217200
2015-04-21,AAPL,28.193546295166016,129740400
2015-04-22,AAPL,28.573434829711914,150618000
2015-04-23,AAPL,28.806686401367188,183083600
2015-04-24,AAPL,28.942203521728516,178103600
2015-04-27,AAPL,29.468708038330078,387816800
2015-04-28,AAPL,29.004413604736328,475696000
2015-04-29,AAPL,28.5778751373291,253544400
2015-04-30,AAPL,27.80255126953125,332781600
2015-05-01,AAPL,28.646743774414062,234050400
2015-05-04,AAPL,28.59119987487793,203953200
2015-05-05,AAPL,27.94696044921875,197085600
2015-05-06,AAPL,27.77145767211914,288564000
2015-05-07,AAPL,27.943222045898438,175763600
2015-05-08,AAPL,28.469703674316406,222201600
2015-05-11,AAPL,28.179697036743164,168143200
2015-05-12,AAPL,28.07931137084961,192640000
2015-05-13,AAPL,28.110546112060547,138776800
2015-05-14,AAPL,28.766403198242188,180814000
2015-05-15,AAPL,28.726245880126953,152832000
2015-05-18,AAPL,29.04302215576172,203531600
2015-05-19,AAPL,29.016252517700195,178532800
2015-05-20,AAPL,29.01402473449707,145819600
2015-05-21,AAPL,29.31071662902832,158921600
2015-05-22,AAPL,29.567270278930664,182384000
2015-05-26,AAPL,28.915864944458008,282790400
2015-05-27,AAPL,29.455718994140625,183332800
2015-05-28,AAPL,29.397722244262695,122933200
2015-05-29,AAPL,29.06309700012207,203538000
2015-06-01,AAPL,29.121103286743164,128451200
2015-06-02,AAPL,28.991714477539062,134670400
2015-06-03,AAPL,29.02741241455078,123934000
2015-06-04,AAPL,28.857866287231445,153800400
2015-06-05,AAPL,28.699474334716797,142507200
2015-06-08,AAPL,28.509857177734375,210699200
2015-06-09,AAPL,28.425085067749023,224301600
2015-06-10,AAPL,28.75079345703125,156349200
2015-06-11,AAPL,28.68609619140625,141563600
2015-06-12,AAPL,28.369312286376953,147544800
2015-06-15,AAPL,28.313547134399414,175955600
2015-06-16,AAPL,28.465234756469727,125976400
2015-06-17,AAPL,28.398319244384766,131672400
2015-06-18,AAPL,28.527708053588867,141628800
2015-06-19,AAPL,28.242158889770508,218867600
2015-06-22,AAPL,28.46747589111328,136157200
2015-06-23,AAPL,28.338085174560547,121075600
2015-06-24,AAPL,28.57901382446289,221123600
2015-06-25,AAPL,28.44292640686035,127752400
2015-06-26,AAPL,28.27562141418457,176267200
2015-06-29,AAPL,27.780378341674805,196645600
2015-06-30,AAPL,27.981151580810547,177482800
2015-07-01,AAPL,28.242158889770508,120955200
2015-07-02,AAPL,28.20646095275879,108844000
2015-07-06,AAPL,28.10830307006836,112241600
2015-07-07,AAPL,28.039155960083008,187787200
2015-07-08,AAPL,27.343137741088867,243046400
2015-07-09,AAPL,26.785432815551758,314380000
2015-07-10,AAPL,27.50152015686035,245418000
2015-07-13,AAPL,28.032468795776367,165762000
2015-07-14,AAPL,28.02130889892578,127072400
2015-07-15,AAPL,28.29123878479004,134596800
2015-07-16,AAPL,28.668241500854492,144889600
2015-07-17,AAPL,28.915864944458008,184658800
2015-07-20,AAPL,29.462413787841797,235600800
2015-07-21,AAPL,29.16794776916504,307025600
2015-07-22,AAPL,27.934303283691406,461802400
2015-07-23,AAPL,27.92091941833496,203998000
2015-07-24,AAPL,27.773693084716797,168649200
2015-07-27,AAPL,27.387754440307617,177822000
2015-07-28,AAPL,27.523834228515625,134472400
2015-07-29,AAPL,27.436832427978516,148046800
2015-07-30,AAPL,27.298524856567383,134513200
2015-07-31,AAPL,27.0598201751709,171540000
2015-08-03,AAPL,26.42181968688965,279904000
2015-08-04,AAPL,25.574108123779297,496554400
2015-08-05,AAPL,25.74364471435547,397250400
2015-08-06,AAPL,25.799657821655273,211612000
2015-08-07,AAPL,25.887060165405273,154681600
2015-08-10,AAPL,26.8282413482666,219806400
2015-08-11,AAPL,25.43216323852539,388331200
2015-08-12,AAPL,25.824312210083008,404870000
2015-08-13,AAPL,25.80414581298828,194143200
2015-08-14,AAPL,25.98565673828125,171718000
2015-08-17,AAPL,26.25456428527832,163538800
2015-08-18,AAPL,26.106670379638672,138242800
2015-08-19,AAPL,25.77277183532715,193146000
2015-08-20,AAPL,25.24391746520996,274006400
2015-08-21,AAPL,23.69993019104004,513102000
2015-08-24,AAPL,23.10832405090332,648825200
2015-08-25,AAPL,23.247257232666016,414406400
2015-08-26,AAPL,24.58060646057129,387098400
2015-08-27,AAPL,25.304420471191406,338464400
2015-08-28,AAPL,25.387338638305664,212657600
2015-08-31,AAPL,25.268566131591797,224917200
2015-09-01,AAPL,24.13914680480957,307383600
2015-09-02,AAPL,25.174448013305664,247555200
2015-09-03,AAPL,24.732995986938477,212935600
2015-09-04,AAPL,24.48648452758789,199985200
2015-09-08,AAPL,25.167724609375,219374400
2015-09-09,AAPL,24.683691024780273,340043200
2015-09-10,AAPL,25.22599220275879,251571200
2015-09-11,AAPL,25.59349822998047,199662000
2015-09-14,AAPL,25.839998245239258,233453600
2015-09-15,AAPL,26.0573673248291,173364800
2015-09-16,AAPL,26.086502075195312,148694000
2015-09-17,AAPL,25.528520584106445,256450400
2015-09-18,AAPL,25.423185348510742,297141200
