date,ticker,close,volume,returns,regime,rolling_vol
2015-02-17,AAPL,28.397926330566406,252609600,0.0059016957857664,volatile,0.0554803184245939
2015-02-18,AAPL,28.595645904541016,179566800,0.0069624652051369,volatile,0.0660528151401148
2015-02-19,AAPL,28.53566169738769,149449600,-0.0020976692519401,volatile,0.063567802885592
2015-02-20,AAPL,28.76892852783203,195793600,0.0081745723270083,volatile,0.062844615365575
2015-02-23,AAPL,29.546463012695312,283896400,0.0270268836780303,volatile,0.0627261493684685
2015-02-24,AAPL,29.362075805664062,276912400,-0.0062405847682013,volatile,0.0627956359855943
2015-02-25,AAPL,28.6112003326416,298846800,-0.0255729696358053,volatile,0.0625454973709552
2015-02-26,AAPL,28.97330665588379,365150000,0.012656103869542,volatile,0.0636269542349448
2015-02-27,AAPL,28.537891387939453,248059200,-0.0150281523995782,volatile,0.0638343348014542
2015-03-02,AAPL,28.677839279174805,192386800,0.0049039324361048,volatile,0.0631943492884558
2015-03-03,AAPL,28.737823486328125,151265200,0.0020916571353015,volatile,0.0630898718371244
2015-03-04,AAPL,28.55565643310547,126665200,-0.0063389300623034,volatile,0.063286495046089
2015-03-05,AAPL,28.08246421813965,226068400,-0.0165708750584782,volatile,0.0629887160478818
2015-03-06,AAPL,28.12467765808105,291368400,0.0015031957172098,volatile,0.0628490546944714
2015-03-09,AAPL,28.244638442993164,354114000,0.0042653212374736,volatile,0.0643686564969305
2015-03-10,AAPL,27.66037368774414,275426400,-0.0206858642013867,volatile,0.0639608357506709
2015-03-11,AAPL,27.15608596801757,275756000,-0.0182314138420337,volatile,0.0640273504525557
2015-03-12,AAPL,27.64705276489257,193450800,0.0180794388945897,volatile,0.0642816794376933
2015-03-13,AAPL,27.45600128173828,207309200,-0.006910374309297,volatile,0.0642792636318595
2015-03-16,AAPL,27.758119583129883,143497200,0.0110037254985324,volatile,0.0636144105865435
2015-03-17,AAPL,28.2224235534668,204092400,0.0167267803911004,volatile,0.0633750998898149
2015-03-18,AAPL,28.54010581970215,261083600,0.0112563779518617,volatile,0.0645017437144072
2015-03-19,AAPL,28.324615478515625,183238000,-0.0075504394604508,volatile,0.0644700415334181
2015-03-20,AAPL,27.96917533874512,274780400,-0.0125488072394172,volatile,0.064445701822896
2015-03-23,AAPL,28.260194778442383,150838800,0.0104050060887608,volatile,0.0585056538057161
2015-03-24,AAPL,28.14467430114746,131369200,-0.0040877452615097,volatile,0.0584813250407282
2015-03-25,AAPL,27.409337997436523,206620800,-0.0261270141499189,volatile,0.0590922667932552
2015-03-26,AAPL,27.60039520263672,190291600,0.0069705151294812,volatile,0.059585767025333
2015-03-27,AAPL,27.38046836853028,158184800,-0.0079682494577263,volatile,0.0432427959546024
2015-03-30,AAPL,28.07358741760254,188398800,0.0253143605778818,volatile,0.0489028172554671
2015-03-31,AAPL,27.642614364624023,168362400,-0.0153515490046808,volatile,0.0490763784025602
2015-04-01,AAPL,27.602617263793945,162485600,-0.0014469362522115,volatile,0.0380810516900084
2015-04-02,AAPL,27.84032440185547,128880400,0.0086117608265112,volatile,0.0379635355868826
2015-04-06,AAPL,28.29129219055176,148776000,0.0161983668791674,volatile,0.0378962254515525
2015-04-07,AAPL,27.993608474731445,140049200,-0.0105220968280739,volatile,0.038009358988767
2015-04-08,AAPL,27.902530670166016,149316800,-0.0032535214117765,volatile,0.0386662499764657
2015-04-09,AAPL,28.11579704284668,129936000,0.0076432627277314,volatile,0.0377501674907448
2015-04-10,AAPL,28.235754013061523,160752000,0.004266532797631,volatile,0.0368511650898532
2015-04-13,AAPL,28.180219650268555,145460400,-0.0019668099802568,volatile,0.0376502107140538
2015-04-14,AAPL,28.058034896850582,102098400,-0.0043358339620609,volatile,0.0381177503426795
2015-04-15,AAPL,28.1646671295166,115881600,0.0038004169949188,volatile,0.0381279401224553
2015-04-16,AAPL,28.029157638549805,113476000,-0.0048113293987693,volatile,0.0379720589944531
2015-04-17,AAPL,27.71369743347168,207828000,-0.0112547158621798,volatile,0.0387987456934706
2015-04-20,AAPL,28.34682846069336,188217200,0.022845418903109,volatile,0.0400058474911483
2015-04-21,AAPL,28.193546295166016,129740400,-0.0054073832541756,volatile,0.0379391108786145
2015-04-22,AAPL,28.57343482971192,150618000,0.0134743082891646,volatile,0.0378848384595534
2015-04-23,AAPL,28.806686401367188,183083600,0.0081632317936353,volatile,0.0375949181101322
2015-04-24,AAPL,28.94220352172852,178103600,0.0047043633715158,volatile,0.0373414065950743
2015-04-27,AAPL,29.46870803833008,387816800,0.018191583657626,volatile,0.0373237216498267
2015-04-28,AAPL,29.004413604736328,475696000,-0.0157555069258497,volatile,0.0373292749386246
2015-04-29,AAPL,28.5778751373291,253544400,-0.014705984862165,volatile,0.0373547403987863
2015-04-30,AAPL,27.80255126953125,332781600,-0.0271302139879918,volatile,0.0363178901169847
2015-05-01,AAPL,28.646743774414062,234050400,0.0303638503063552,volatile,0.0360062382813684
2015-05-04,AAPL,28.59119987487793,203953200,-0.0019389254141247,volatile,0.0363128003297553
2015-05-05,AAPL,27.94696044921875,197085600,-0.0225327873079314,volatile,0.033072796742373
2015-05-06,AAPL,27.77145767211914,288564000,-0.0062798520582768,volatile,0.0334885075870254
2015-05-07,AAPL,27.94322204589844,175763600,0.0061849246736422,volatile,0.0330461464290637
2015-05-08,AAPL,28.469703674316406,222201600,0.0188411210258139,volatile,0.0325760502801455
2015-05-11,AAPL,28.179697036743164,168143200,-0.0101865000384555,volatile,0.0325157905087523
2015-06-02,AAPL,28.991714477539062,134670400,-0.0044431286799152,volatile,0.0293181192119026
2015-06-03,AAPL,29.02741241455078,123934000,0.0012313151414131,volatile,0.0293129463847061
2015-06-04,AAPL,28.857866287231445,153800400,-0.0058408970423539,volatile,0.0293067590632031
2015-06-05,AAPL,28.6994743347168,142507200,-0.0054886924396322,volatile,0.0292638278657633
2015-06-08,AAPL,28.50985717773437,210699200,-0.0066069905940073,volatile,0.0300248215290227
2015-06-09,AAPL,28.425085067749023,224301600,-0.0029734315909359,volatile,0.0299876689951054
2015-06-10,AAPL,28.75079345703125,156349200,0.011458484240449,volatile,0.0300091975896442
2015-06-11,AAPL,28.68609619140625,141563600,-0.0022502775696152,volatile,0.0307085437078952
2015-06-12,AAPL,28.36931228637696,147544800,-0.0110431165996087,volatile,0.029394942321943
2015-06-15,AAPL,28.31354713439941,175955600,-0.0019656857175323,volatile,0.0293757777777386
2015-06-16,AAPL,28.465234756469727,125976400,0.0053574220619649,volatile,0.0292596493407951
2015-06-17,AAPL,28.39831924438477,131672400,-0.0023507802643274,volatile,0.0291337818732769
2015-06-18,AAPL,28.527708053588867,141628800,0.0045562136297796,volatile,0.0289321665466289
2015-06-19,AAPL,28.242158889770508,218867600,-0.0100095375093561,volatile,0.0285786649742572
2015-06-22,AAPL,28.46747589111328,136157200,0.0079780374518176,volatile,0.0282922462412582
2015-06-23,AAPL,28.338085174560547,121075600,-0.0045452121237459,volatile,0.0292754802128481
2015-06-24,AAPL,28.57901382446289,221123600,0.0085019382367665,volatile,0.0295108829459695
2015-06-25,AAPL,28.44292640686035,127752400,-0.0047617954362739,volatile,0.0295006562274834
2015-06-26,AAPL,28.27562141418457,176267200,-0.0058821300692684,volatile,0.0294321998538472
2015-06-29,AAPL,27.780378341674805,196645600,-0.0175148430959443,volatile,0.029458050885767
2015-06-30,AAPL,27.981151580810547,177482800,0.0072271599999973,volatile,0.0293769018248236
2015-07-01,AAPL,28.242158889770508,120955200,0.0093279688009324,volatile,0.0293660223048105
2015-07-02,AAPL,28.20646095275879,108844000,-0.0012639946241733,volatile,0.0293931484098676
2015-07-06,AAPL,28.10830307006836,112241600,-0.0034799786777514,volatile,0.0293946454824727
2015-07-07,AAPL,28.039155960083008,187787200,-0.0024600243498507,volatile,0.0298914529427432
2015-07-08,AAPL,27.343137741088867,243046400,-0.0248230802662178,volatile,0.0299113553831962
2015-07-09,AAPL,26.78543281555176,314380000,-0.0203965225504838,volatile,0.0278377255925835
2015-07-10,AAPL,27.50152015686035,245418000,0.0267342083377808,volatile,0.0279061687947316
2015-07-13,AAPL,28.032468795776367,165762000,0.0193061560192908,volatile,0.0308372344357569
2015-10-07,AAPL,24.824865341186523,187062400,-0.0047614070023451,volatile,0.0272007144099193
2015-10-08,AAPL,24.538026809692383,247918400,-0.0115544848905283,volatile,0.0271822279135725
2015-10-09,AAPL,25.12514877319336,211064400,0.0239270242898694,volatile,0.0270228705574242
2015-10-12,AAPL,25.008623123168945,121868800,-0.0046378093549336,volatile,0.0266556234044832
2015-10-13,AAPL,25.05119705200196,132197200,0.0017023699634854,volatile,0.0267419385497325
2015-10-14,AAPL,24.69713020324707,177849600,-0.0141337297383395,volatile,0.0267404298672443
2015-10-15,AAPL,25.066883087158203,150694000,0.0149714918643673,volatile,0.0268139552604926
2015-10-16,AAPL,24.883129119873047,156930400,-0.0073305471065644,volatile,0.0265845636425822
2015-10-22,AAPL,25.882583618164062,166616400,0.0152955801487337,volatile,0.0271642644564516
2015-10-23,AAPL,26.684829711914062,237467600,0.0309955955551126,volatile,0.0270472135817688
2015-10-26,AAPL,25.83328056335449,265335200,-0.0319113577921533,volatile,0.0276406368895008
2015-10-27,AAPL,25.66969108581543,279537600,-0.0063325088402096,volatile,0.0278424130823615
2015-10-28,AAPL,26.72740173339844,342205600,0.0412046504201011,volatile,0.0276853402177075
2017-02-28,AAPL,31.652286529541016,93931600,0.0004382780339389,volatile,0.0379906537009313
2017-03-01,AAPL,32.29923629760742,145658400,0.0204392743463448,volatile,0.0379537886500728
2017-03-02,AAPL,32.107460021972656,104844000,-0.0059374863810316,volatile,0.03794882386726
2017-03-03,AAPL,32.29692840576172,84432400,0.0059010704571274,volatile,0.037957568117041
2017-03-06,AAPL,32.19526672363281,87000000,-0.0031477198342728,volatile,0.0407965321328429
2017-03-07,AAPL,32.236873626708984,69785200,0.0012923298146068,volatile,0.040871723948999
2017-03-08,AAPL,32.116703033447266,74828800,-0.0037277372071885,volatile,0.0416552558882947
2017-03-09,AAPL,32.042762756347656,88623600,-0.0023022374688524,volatile,0.0401617245842366
2017-03-10,AAPL,32.14905548095703,78451200,0.0033172147301285,volatile,0.0412936969689523
2017-03-13,AAPL,32.16291809082031,69686800,0.0004311980447293,volatile,0.0404933366287972
2017-03-14,AAPL,32.11438751220703,61236400,-0.0015088984922401,volatile,0.0404862308949477
2017-03-15,AAPL,32.454044342041016,102767200,0.0105764691823837,volatile,0.0404625704531269
2017-03-16,AAPL,32.507205963134766,76928000,0.0016380584352897,volatile,0.0404622694567263
2017-03-17,AAPL,32.345436096191406,175540000,-0.004976430983543,volatile,0.0400810316293321
2017-03-20,AAPL,32.68510055541992,86168000,0.0105011556566556,volatile,0.0397744606023873
2017-03-21,AAPL,32.31078338623047,158119600,-0.0114522263303051,volatile,0.0414873393328921
2017-03-22,AAPL,32.675865173339844,103440800,0.0112990695008947,volatile,0.0416434212425475
2017-03-23,AAPL,32.560340881347656,81385200,-0.0035354623780993,volatile,0.0412960182855213
2017-03-24,AAPL,32.495643615722656,89582400,-0.0019869959550105,volatile,0.0430566085383281
2017-03-27,AAPL,32.55109405517578,94300400,0.0017063960975463,volatile,0.0448507434598575
2017-03-28,AAPL,33.225765228271484,133499200,0.02072652832965,volatile,0.0456906370192685
2017-03-29,AAPL,33.299713134765625,116760000,0.0022256193645533,volatile,0.0458854960240327
2017-03-30,AAPL,33.25580978393555,84829200,-0.0013184303015584,volatile,0.0463562801662407
2017-03-31,AAPL,33.19342803955078,78646800,-0.0018758149264763,volatile,0.0466680095190063
2017-04-03,AAPL,33.20267105102539,79942800,0.0002784590812252,volatile,0.0466399899333195
2017-04-04,AAPL,33.44990539550781,79565600,0.0074462185317101,volatile,0.0466439181423845
2017-04-05,AAPL,33.2765998840332,110871600,-0.0051810463863938,volatile,0.0466259434844863
2017-04-06,AAPL,33.19342803955078,84596000,-0.0024994093378611,volatile,0.047074411441083
2017-04-07,AAPL,33.11949157714844,66688800,-0.0022274428032635,volatile,0.0469848073384056
2017-04-10,AAPL,33.080204010009766,75733600,-0.0011862370244167,volatile,0.0469853382907776
2017-04-11,AAPL,32.7243766784668,121517600,-0.0107565035401625,volatile,0.0331874938389272
2017-04-12,AAPL,32.76365280151367,81400000,0.0012002099668018,volatile,0.0331956172711373
2017-04-13,AAPL,32.59038162231445,71291600,-0.0052885183544373,volatile,0.0331971606793398
2017-04-17,AAPL,32.770591735839844,66328400,0.0055295490434514,volatile,0.0331460025420237
2017-04-18,AAPL,32.625030517578125,58790000,-0.0044418245308193,volatile,0.0311243255244284
2017-04-19,AAPL,32.504878997802734,69313600,-0.0036828017589333,volatile,0.0313486486593865
2017-04-20,AAPL,32.911529541015625,93278400,0.0125104463007039,volatile,0.0306532483825393
2017-04-21,AAPL,32.87226867675781,69283600,-0.0011929212894491,volatile,0.030532332215613
2017-04-24,AAPL,33.18879318237305,68537200,0.0096289218346232,volatile,0.0296328039914606
2017-04-25,AAPL,33.394439697265625,75486000,0.0061962637135537,volatile,0.029546661064626
2017-04-26,AAPL,33.19804763793945,80164800,-0.0058809808191587,volatile,0.029040405398064
2017-04-27,AAPL,33.22346115112305,56985200,0.0007655122813472,volatile,0.0291813593221826
2017-04-28,AAPL,33.191104888916016,83441600,-0.0009738979951502,volatile,0.0291996701869549
2017-05-01,AAPL,33.86810302734375,134411600,0.0203969750538137,volatile,0.0288527238355299
2017-05-02,AAPL,34.082984924316406,181408800,0.0063446688112165,volatile,0.0278244805073287
2017-11-14,AAPL,40.0520133972168,99130000,-0.0151176889614971,volatile,0.0274438855757291
2017-11-15,AAPL,39.52372741699219,116632400,-0.0131899980903661,volatile,0.0273198806962604
2017-11-16,AAPL,39.99592208862305,94550000,0.0119471189204651,volatile,0.0270779970719169
2017-11-17,AAPL,39.77385330200195,87598000,-0.0055522857087538,volatile,0.032839372002652
2017-11-20,AAPL,39.73411178588867,65049600,-0.0009991869737017,volatile,0.0324923719921605
2017-11-21,AAPL,40.472782135009766,100525200,0.0185903324856357,volatile,0.0325111455878169
2017-11-22,AAPL,40.89821243286133,102355600,0.0105115160216169,volatile,0.0325130436327622
2017-11-24,AAPL,40.90056228637695,56106800,5.745614235541652e-05,volatile,0.0326654572787938
2017-11-27,AAPL,40.6948471069336,82867200,-0.005029641842158,volatile,0.0327863027322924
2017-11-28,AAPL,40.456424713134766,105715200,-0.0058587858352762,volatile,0.0329195604597882
2017-11-29,AAPL,39.61722946166992,166665600,-0.0207431886879609,volatile,0.0357660343226368
2017-11-30,AAPL,40.17124176025391,166108800,0.0139841252432859,volatile,0.0358924132198253
2017-12-01,AAPL,39.98423385620117,159037200,-0.0046552681933216,volatile,0.0359387896177382
2017-12-04,AAPL,39.69203567504883,130169600,-0.0073078349382209,volatile,0.0350601442241829
2017-12-05,AAPL,39.654632568359375,109400800,-0.0009423327892694,volatile,0.0359471222230298
2017-12-06,AAPL,39.507354736328125,114240000,-0.0037140132814839,volatile,0.0360240749266505
2017-12-07,AAPL,39.579833984375,102693200,0.001834576081608,volatile,0.0369452515555375
2017-12-08,AAPL,39.59151077270508,93420800,0.0002950186282915,volatile,0.0367981433813622
2017-12-11,AAPL,40.362918853759766,141095200,0.0194841789565278,volatile,0.0368697833255238
2017-12-12,AAPL,40.13615417480469,77636800,-0.0056181437169268,volatile,0.0365374830019031
2017-12-13,AAPL,40.26940536499024,95273600,0.0033199790295106,volatile,0.0373131101115804
2017-12-14,AAPL,40.25773239135742,81906000,-0.0002898720139277,volatile,0.0431106893982235
2017-12-15,AAPL,40.66680145263672,160677200,0.0101612544219484,volatile,0.0431044134904485
2017-12-18,AAPL,41.2395133972168,117684400,0.0140830339274924,volatile,0.0428360034997143
2017-12-19,AAPL,40.8000373840332,109745600,-0.0106566731025796,volatile,0.0451476871827092
2017-12-20,AAPL,40.755638122558594,93902400,-0.0010882161958994,volatile,0.0451466289454301
2017-12-21,AAPL,40.9099006652832,83799600,0.0037850601740234,volatile,0.0472056791425565
2017-12-22,AAPL,40.9099006652832,65397600,0.0,volatile,0.0472535492836444
2017-12-26,AAPL,39.87202453613281,132742000,-0.0253698032083258,volatile,0.046562038407452
2017-12-27,AAPL,39.879051208496094,85992800,0.0001762306390264,volatile,0.0461756305241562
2017-12-28,AAPL,39.99123764038086,65920800,0.0028131670259212,volatile,0.0415666710117408
2017-12-29,AAPL,39.55878829956055,103999600,-0.0108136023373193,volatile,0.0414571769640731
