date,close,volume,returns
2020-01-25,0.3333333333333333,1.0,-0.33333333333333337
2020-01-26,1.0,1.0,2.0
2020-01-27,0.8,1.0,-0.19999999999999996
2020-01-28,0.6666666666666666,1.0,-0.16666666666666674
2020-01-29,0.7142857142857143,1.0,0.07142857142857162
2020-01-30,0.7142857142857143,1.0,0.0
2020-01-31,0.8571428571428571,1.0,0.19999999999999996
2020-02-01,0.8571428571428571,1.0,0.0
2020-02-02,0.42857142857142855,1.0,-0.5
2020-02-03,0.8571428571428571,1.0,1.0
2020-02-04,0.8571428571428571,1.0,0.0
2020-02-05,0.7142857142857143,1.0,-0.16666666666666663
2020-02-06,0.8571428571428571,1.0,0.19999999999999996
2020-02-07,0.5714285714285714,1.0,-0.33333333333333337
2020-02-08,0.5714285714285714,1.0,0.0
2020-02-09,0.5714285714285714,1.0,0.0
2020-02-10,0.14285714285714285,1.0,-0.75
2020-02-11,0.2857142857142857,1.0,1.0
2020-02-12,0.2857142857142857,1.0,0.0
2020-02-13,0.2857142857142857,1.0,0.0
2020-02-14,0.2857142857142857,1.0,0.0
2020-02-15,0.2857142857142857,1.0,0.0
2020-02-16,0.2857142857142857,1.0,0.0
2020-02-17,0.2857142857142857,1.0,0.0
2020-02-18,0.14285714285714285,1.0,-0.5
2020-02-19,0.14285714285714285,1.0,0.0
2020-02-21,0.2857142857142857,1.0,1.0
2020-02-22,0.2857142857142857,1.0,0.0
2020-02-23,0.2857142857142857,1.0,0.0
2020-02-24,0.2857142857142857,1.0,0.0
2020-02-25,0.2857142857142857,1.0,0.0
2020-02-26,0.2857142857142857,1.0,0.0
2020-02-27,0.42857142857142855,1.0,0.5
2020-02-28,0.14285714285714285,1.0,-0.6666666666666667
2020-02-29,1.2857142857142858,1.0,8.000000000000002
2020-03-01,2.2857142857142856,1.0,0.7777777777777775
2020-03-02,5.571428571428571,1.0,1.4375
2020-03-03,8.285714285714286,1.0,0.48717948717948745
2020-03-04,13.0,1.0,0.5689655172413792
2020-03-05,23.857142857142858,1.0,0.8351648351648353
2020-03-06,31.428571428571427,1.0,0.3173652694610778
2020-03-07,54.0,1.0,0.7181818181818183
2020-03-08,69.57142857142857,1.0,0.28835978835978837
2020-03-09,77.0,1.0,0.10677618069815198
2020-03-10,101.14285714285714,1.0,0.313543599257885
2020-03-11,148.57142857142858,1.0,0.4689265536723166
2020-03-12,200.28571428571428,1.0,0.34807692307692295
2020-03-13,283.14285714285717,1.0,0.413694721825963
2020-03-14,367.85714285714283,1.0,0.2991927346115033
2020-03-15,384.7142857142857,1.0,0.04582524271844668
2020-03-16,583.5714285714286,1.0,0.5168956554028963
2020-03-17,818.5714285714286,1.0,0.4026927784577723
2020-03-18,1146.0,1.0,0.40000000000000013
2020-03-19,1725.2857142857142,1.0,0.5054849164796809
2020-03-20,2544.4285714285716,1.0,0.4747867847975491
2020-03-21,3292.4285714285716,1.0,0.29397563303576435
2020-03-22,4533.142857142857,1.0,0.37683863409554386
2020-03-23,5916.714285714285,1.0,0.30521240388251614
2020-03-24,7171.714285714285,1.0,0.2121109689258034
2020-03-25,8524.57142857143,1.0,0.18863790287239568
2020-03-26,10428.42857142857,1.0,0.22333757876390914
2020-03-27,12174.714285714286,1.0,0.1674543486897082
2020-03-28,14484.57142857143,1.0,0.18972577825234982
2020-03-29,15514.285714285714,1.0,0.07109042133501653
2020-03-30,17086.0,1.0,0.10130755064456731
2020-03-31,19337.85714285714,1.0,0.13179545492550293
2020-04-01,22723.14285714286,1.0,0.1750600229010455
2020-04-02,24788.714285714286,1.0,0.09090166098753949
2020-04-03,26768.14285714286,1.0,0.07985200638539425
2020-04-04,28131.85714285714,1.0,0.050945420195648294
2020-04-05,29939.0,1.0,0.06423830634308847
