date,ticker,close,volume,returns
2015-01-05,AAPL,23.511064529418945,257142000,-0.028171630244495094
2015-01-06,AAPL,23.513273239135746,263188400,9.394341604718193e-05
2015-01-07,AAPL,23.842981338500977,160423600,0.014022211880584168
2015-01-08,AAPL,24.759082794189453,237458000,0.03842226954265926
2015-01-09,AAPL,24.785633087158203,214798000,0.0010723455787700065
2015-01-12,AAPL,24.174898147583008,198603200,-0.02464068347286341
2015-01-13,AAPL,24.389543533325195,268367600,0.008878853777658957
2015-01-14,AAPL,24.296607971191406,195826400,-0.0038104674655680126
2015-01-15,AAPL,23.637189865112305,240056000,-0.02714033608563704
2015-01-16,AAPL,23.45352554321289,314053200,-0.007770142007045289
2015-01-20,AAPL,24.0576286315918,199599600,0.025757453277796438
2015-01-21,AAPL,24.24128532409668,194303600,0.007634031405061581
2015-01-22,AAPL,24.871936798095703,215185600,0.02601559552504984
2015-01-23,AAPL,25.00028419494629,185859200,0.005160329808348907
2015-01-26,AAPL,25.026836395263672,222460000,0.0010620759392308
2015-01-27,AAPL,24.150564193725582,382274800,-0.03501330282815629
2015-01-28,AAPL,25.51585578918457,585908400,0.056532492761129705
2015-01-29,AAPL,26.310258865356445,337745600,0.031133703009428304
2015-01-30,AAPL,25.925228118896484,334982000,-0.014634243943792757
2015-02-02,AAPL,26.25051498413086,250956400,0.01254711679845455
2015-02-03,AAPL,26.25493812561035,207662800,0.00016849732213497504
2015-02-04,AAPL,26.45630645751953,280598800,0.007669731726114959
2015-02-05,AAPL,26.645130157470703,168984800,0.007137190531655069
2015-02-06,AAPL,26.42076301574707,174826400,-0.008420568426486974
2015-02-09,AAPL,26.59625816345215,155559200,0.006642319436440225
2015-02-10,AAPL,27.107213973999023,248034000,0.01921156755986897
2015-02-11,AAPL,27.742565155029297,294247200,0.0234384537503447
2015-02-12,AAPL,28.09357643127441,297898000,0.012652444872477187
2015-02-13,AAPL,28.2313175201416,217088800,0.004902938905060772
2015-02-17,AAPL,28.397932052612305,252609600,0.0059017625497581605
2015-02-18,AAPL,28.595645904541016,179566800,0.006962262307072642
2015-02-19,AAPL,28.535669326782227,149449600,-0.002097402449275143
2015-02-20,AAPL,28.768922805786133,195793600,0.008174102255417814
2015-02-23,AAPL,29.54645729064941,283896400,0.027026889053590075
2015-02-24,AAPL,29.362085342407227,276912400,-0.0062400695429747355
2015-02-25,AAPL,28.611196517944336,298846800,-0.025573416046795305
2015-02-26,AAPL,28.97331428527832,365150000,0.012656505543445995
2015-02-27,AAPL,28.53788948059082,248059200,-0.015028477598392875
2015-03-02,AAPL,28.6778507232666,192386800,0.004904400613471083
2015-03-03,AAPL,28.737817764282227,151265200,0.0020910577153878673
2015-03-04,AAPL,28.55565643310547,126665200,-0.006338732212407661
2015-03-05,AAPL,28.08247947692871,226068400,-0.016570340705885145
2015-03-06,AAPL,28.12467765808105,291368400,0.0015026515442486676
2015-03-09,AAPL,28.244647979736328,354114000,0.004265660325561305
2015-03-10,AAPL,27.660381317138672,275426400,-0.020685924746409623
2015-03-11,AAPL,27.156082153320312,275756000,-0.018231822549239052
2015-03-12,AAPL,27.64704704284668,193450800,0.018079371197746053
2015-03-13,AAPL,27.455989837646484,207309200,-0.006910582707227331
2015-03-16,AAPL,27.75812149047852,143497200,0.011004216370220421
2015-03-17,AAPL,28.22242927551269,204092400,0.01672691666809789
2015-03-18,AAPL,28.540098190307617,261083600,0.01125590259058784
2015-03-19,AAPL,28.324621200561523,183238000,-0.007549973665446963
2015-03-20,AAPL,27.96917724609375,274780400,-0.012548939382134638
2015-03-23,AAPL,28.260194778442383,150838800,0.010404937184531393
2015-03-24,AAPL,28.14467430114746,131369200,-0.00408774526150979
2015-03-25,AAPL,27.409347534179688,206620800,-0.02612667530275148
2015-03-26,AAPL,27.600399017333984,190291600,0.006970303941604472
2015-03-27,AAPL,27.380468368530277,158184800,-0.007968386568092178
2015-03-30,AAPL,28.073585510253903,188398800,0.025314290916961024
2015-03-31,AAPL,27.64260673522949,168362400,-0.015351753870804896
2015-04-01,AAPL,27.60262107849121,162485600,-0.0014465226496644945
2015-04-02,AAPL,27.84032249450684,128880400,0.008611552335544337
2015-04-06,AAPL,28.29129219055176,148776000,0.016198436499214486
2015-04-07,AAPL,27.99361228942871,140049200,-0.010521961991628803
2015-04-08,AAPL,27.902528762817383,149316800,-0.0032537253738319505
2015-04-09,AAPL,28.11579704284668,129936000,0.007643331607760873
2015-04-10,AAPL,28.235759735107425,160752000,0.004266736314746167
2015-04-13,AAPL,28.180213928222656,145460400,-0.0019672148865789163
2015-04-14,AAPL,28.05803871154785,102098400,-0.004335496422631646
2015-04-15,AAPL,28.16466522216797,115881600,0.003800212542163006
2015-04-16,AAPL,28.029157638549805,113476000,-0.004811262003267425
2015-04-17,AAPL,27.713695526123047,207828000,-0.011254783910911725
2015-04-20,AAPL,28.346832275390625,188217200,0.022845626945377173
2015-04-21,AAPL,28.19355010986328,129740400,-0.005407382526491866
2015-04-22,AAPL,28.573427200317383,150618000,0.013473900554340057
2015-04-23,AAPL,28.80669593811035,183083600,0.008163834746095056
2015-04-24,AAPL,28.94220352172852,178103600,0.004704030754144828
2015-04-27,AAPL,29.46870422363281,387816800,0.018191451853657892
2015-04-28,AAPL,29.00440788269043,475696000,-0.015755573689936186
2015-04-29,AAPL,28.57787322998047,253544400,-0.014705856242095972
2015-04-30,AAPL,27.802553176879883,332781600,-0.027130082314425485
2015-05-01,AAPL,28.6467399597168,234050400,0.03036364241320566
2015-05-04,AAPL,28.591203689575195,203953200,-0.0019386593455206214
2015-05-05,AAPL,27.94696044921875,197085600,-0.02253291772361954
2015-05-06,AAPL,27.771455764770508,288564000,-0.006279920307152742
2015-05-07,AAPL,27.943233489990234,175763600,0.0061854058596970685
2015-05-08,AAPL,28.46969985961914,222201600,0.018840567245644424
2015-05-11,AAPL,28.17969512939453,168143200,-0.010186434407619016
2015-05-12,AAPL,28.079307556152344,192640000,-0.0035624080665610514
2015-05-13,AAPL,28.11054229736328,138776800,0.001112375764554585
2015-05-14,AAPL,28.76640510559082,180814000,0.02333156014172877
2015-05-15,AAPL,28.72624969482422,152832000,-0.0013959134142484952
2015-05-18,AAPL,29.04302024841309,203531600,0.011027215767951182
2015-05-19,AAPL,29.01626205444336,178532800,-0.0009213295910982522
2015-05-20,AAPL,29.01401901245117,145819600,-7.730292716490172e-05
2015-05-21,AAPL,29.310718536376957,158921600,0.010226074636487281
2015-05-22,AAPL,29.567258834838867,182384000,0.008752439765115971
2015-05-26,AAPL,28.91586685180664,282790400,-0.02203085469203847
2015-05-27,AAPL,29.455724716186523,183332800,0.018669952630043785
2015-05-28,AAPL,29.39772224426269,122933200,-0.0019691408879836114
2015-05-29,AAPL,29.063098907470703,203538000,-0.011382628014906637
2015-06-01,AAPL,29.12110137939453,128451200,0.00199574285276638
2015-06-02,AAPL,28.991718292236328,134670400,-0.004442932479530204
2015-06-03,AAPL,29.02740478515625,123934000,0.0012309202428155697
2015-06-04,AAPL,28.85786247253418,153800400,-0.00584076716044446
2015-06-05,AAPL,28.699472427368164,142507200,-0.005488627070586616
2015-06-08,AAPL,28.509855270385746,210699200,-0.00660699103310336
2015-06-09,AAPL,28.42508888244629,224301600,-0.0029732310857258915
2015-06-10,AAPL,28.75078582763672,156349200,0.01145808009738758
2015-06-11,AAPL,28.68609046936035,141563600,-0.0022502118260078197
2015-06-12,AAPL,28.369312286376957,147544800,-0.011042919331295642
2015-06-15,AAPL,28.313539505004883,175955600,-0.0019659546487792445
2015-06-16,AAPL,28.465240478515625,125976400,0.005357895062322537
2015-06-17,AAPL,28.3983097076416,131672400,-0.0023513158416680335
2015-06-18,AAPL,28.52770233154297,141628800,0.0045563494881721844
2015-06-19,AAPL,28.242158889770508,218867600,-0.010009338938479329
2015-06-22,AAPL,28.467472076416016,136157200,0.007977902380795543
2015-06-23,AAPL,28.33807945251465,121075600,-0.004545279733797036
2015-06-24,AAPL,28.579008102416992,221123600,0.00850193995348425
2015-06-25,AAPL,28.442934036254883,127752400,-0.004761329213192722
2015-06-26,AAPL,28.275615692138672,176267200,-0.005882597902977849
2015-06-29,AAPL,27.780378341674805,196645600,-0.01751464427356597
2015-06-30,AAPL,27.98115539550781,177482800,0.007227297316243053
2015-07-01,AAPL,28.242158889770508,120955200,0.009327831198300052
2015-07-02,AAPL,28.206470489501957,108844000,-0.0012636569466181191
2015-07-06,AAPL,28.108304977416992,112241600,-0.0034802479849969092
2015-07-07,AAPL,28.039155960083008,187787200,-0.002460092040040829
2015-07-08,AAPL,27.343137741088867,243046400,-0.024823080266217823
2015-07-09,AAPL,26.78542900085449,314380000,-0.02039666206253654
2015-07-10,AAPL,27.501527786254883,245418000,0.026734639395827875
2015-07-13,AAPL,28.032459259033203,165762000,0.01930552647492112
2015-07-14,AAPL,28.02130508422852,127072400,-0.00039790211417467525
2015-07-15,AAPL,28.29123306274414,134596800,0.009632955271150045
2015-07-16,AAPL,28.66824531555176,144889600,0.013326115972799313
2015-07-17,AAPL,28.91586685180664,184658800,0.008637484908103232
2015-07-20,AAPL,29.462411880493164,235600800,0.0189012154291468
2015-07-21,AAPL,29.167943954467773,307025600,-0.009994698574571026
2015-07-22,AAPL,27.934310913085938,461802400,-0.04229413781470448
2015-07-23,AAPL,27.920921325683597,203998000,-0.0004793240629418216
2015-07-24,AAPL,27.773691177368164,168649200,-0.005273112108231226
2015-07-27,AAPL,27.38775634765625,177822000,-0.013895698171599191
2015-07-28,AAPL,27.52383804321289,134472400,0.004968705498516801
2015-07-29,AAPL,27.43683242797852,148046800,-0.003161100392240712
2015-07-30,AAPL,27.29852104187012,134513200,-0.005041084333312296
2015-07-31,AAPL,27.05982208251953,171540000,-0.00874402532593166
2015-08-03,AAPL,26.42181205749512,279904000,-0.023577761268303465
2015-08-04,AAPL,25.574098587036133,496554400,-0.03208385059337804
2015-08-05,AAPL,25.74364280700684,397250400,0.006629528676981522
2015-08-06,AAPL,25.799657821655277,211612000,0.0021758775581359746
2015-08-07,AAPL,25.887060165405277,154681600,0.0033877326728199986
2015-08-10,AAPL,26.8282413482666,219806400,0.03635720614266935
2015-08-11,AAPL,25.432151794433597,388331200,-0.05203805705002751
2015-08-12,AAPL,25.824316024780277,404870000,0.015420017681418319
2015-08-13,AAPL,25.804149627685547,194143200,-0.0007809073074918071
2015-08-14,AAPL,25.98566246032715,171718000,0.007034249733494535
2015-08-17,AAPL,26.25456428527832,163538800,0.010348084269997448
2015-08-18,AAPL,26.10667610168457,138242800,-0.005632856138339193
2015-08-19,AAPL,25.77277183532715,193146000,-0.012789995365816598
2015-08-20,AAPL,25.243921279907227,274006400,-0.020519739157237926
2015-08-21,AAPL,23.69992446899414,513102000,-0.0611631130438528
2015-08-24,AAPL,23.10832405090332,648825200,-0.024962122510761242
2015-08-25,AAPL,23.24725914001465,414406400,0.006012339484476659
2015-08-26,AAPL,24.58060646057129,387098400,0.05735503323321245
2015-08-27,AAPL,25.304426193237305,338464400,0.029446780893183533
2015-08-28,AAPL,25.38733673095703,212657600,0.003276523130245179
2015-08-31,AAPL,25.268564224243164,224917200,-0.004678415383723045
2015-09-01,AAPL,24.13914680480957,307383600,-0.04469654110184895
2015-09-02,AAPL,25.174448013305664,247555200,0.04288888985462469
2015-09-03,AAPL,24.73299217224121,212935600,-0.017535869737089205
2015-09-04,AAPL,24.486486434936523,199985200,-0.009966676720229217
2015-09-08,AAPL,25.167724609375,219374400,0.027820985107381846
2015-09-09,AAPL,24.683687210083008,340043200,-0.019232465660073528
2015-09-10,AAPL,25.22599601745605,251571200,0.021970332177581486
2015-09-11,AAPL,25.5935001373291,199662000,0.014568468163506543
2015-09-14,AAPL,25.839998245239254,233453600,0.00963127773018524
2015-09-15,AAPL,26.057371139526367,173364800,0.008412264282067428
2015-09-16,AAPL,26.08649635314941,148694000,0.0011177341515800077
2015-09-17,AAPL,25.528514862060547,256450400,-0.021389667801114953
2015-09-18,AAPL,25.423189163208008,297141200,-0.004125805963317908
2015-09-21,AAPL,25.817590713500977,200888000,0.015513456937327863
2015-09-22,AAPL,25.4119873046875,201384800,-0.015710350873343604
2015-09-23,AAPL,25.618152618408203,143026800,0.00811291581602025
2015-09-24,AAPL,25.770532608032227,200878000,0.005948125608188137
2015-09-25,AAPL,25.705547332763672,224607600,-0.0025216892586962247
2015-09-28,AAPL,25.19685935974121,208436000,-0.019789034889527546
2015-09-29,AAPL,24.43942642211914,293461600,-0.03006060901511698
2015-09-30,AAPL,24.717308044433597,265892000,0.011370218658771636
2015-10-01,AAPL,24.555953979492188,255716400,-0.0065279788823017215
2015-10-02,AAPL,24.7352294921875,232079200,0.007300694277446285
2015-10-05,AAPL,24.824865341186523,208258800,0.003623813113492025
2015-10-06,AAPL,24.94363594055176,192787200,0.004784340125631559
2015-10-07,AAPL,24.824865341186523,187062400,-0.004761559206857613
2015-10-08,AAPL,24.538028717041016,247918400,-0.011554408058343957
2015-10-09,AAPL,25.125154495239254,211064400,0.023927177890638696
2015-10-12,AAPL,25.008623123168945,121868800,-0.004638036040430671
2015-10-13,AAPL,25.05119514465332,132197200,0.001702293695846624
2015-10-14,AAPL,24.697134017944336,177849600,-0.014133502400365594
2015-10-15,AAPL,25.066883087158203,150694000,0.014971335092776927
2015-10-16,AAPL,24.88312530517578,156930400,-0.007330699287322329
2015-10-19,AAPL,25.037752151489254,119036800,0.006214124810170363
2015-10-20,AAPL,25.49489402770996,195871200,0.01825810374089487
2015-10-21,AAPL,25.492660522460938,167180800,-8.760598285273424e-05
2015-10-22,AAPL,25.882583618164062,166616400,0.01529550418480552
2015-10-23,AAPL,26.684837341308597,237467600,0.030995890324547082
2015-10-26,AAPL,25.83328437805176,265335200,-0.031911491622196086
2015-10-27,AAPL,25.66969490051269,279537600,-0.006332507905113971
2015-10-28,AAPL,26.727405548095703,342205600,0.04120464429680015
2015-10-29,AAPL,27.00975227355957,204909200,0.01056394063223931
2015-10-30,AAPL,26.778949737548828,197461200,-0.008545155604284482
2015-11-02,AAPL,27.155424118041992,128813200,0.01405859393974973
2015-11-03,AAPL,27.46690559387207,182076000,0.011470322631533802
2015-11-04,AAPL,27.339174270629883,179544400,-0.004650371801280917
2015-11-05,AAPL,27.21314239501953,158210800,-0.004609937167917577
2015-11-06,AAPL,27.24464988708496,132169200,0.0011578042553144208
2015-11-09,AAPL,27.134374618530277,135485600,-0.004047593527966686
2015-11-10,AAPL,26.27918815612793,236511600,-0.03151671908510967
2015-11-11,AAPL,26.130651473999023,180872000,-0.0056522553606462855
2015-11-12,AAPL,26.042879104614254,130102400,-0.0033589812895443716
2015-11-13,AAPL,25.282201766967773,183249600,-0.029208649880485216
2015-11-16,AAPL,25.696298599243164,152426800,0.016378986137846052
2015-11-17,AAPL,25.586030960083008,110467600,-0.004291187648457817
2015-11-18,AAPL,26.396203994750977,186698800,0.03166466248445987
2015-11-19,AAPL,26.73153686523437,173183200,0.012703829329023142
2015-11-20,AAPL,26.84855842590332,137148400,0.004377659289060309
2015-11-23,AAPL,26.499731063842773,129930000,-0.012992405645287808
2015-11-24,AAPL,26.754039764404297,171212800,0.009596652130123395
2015-11-25,AAPL,26.562746047973636,85553200,-0.00715008716871135
2015-11-27,AAPL,26.51323699951172,52185600,-0.0018638527949068617
2015-11-30,AAPL,26.623512268066406,156721200,0.004159253302669752
2015-12-01,AAPL,26.407459259033203,139409600,-0.008115120456602898
2015-12-02,AAPL,26.16891098022461,133546400,-0.009033367294772776
2015-12-03,AAPL,25.925853729248047,166278000,-0.00928801550665359
2015-12-04,AAPL,26.78779983520508,231108000,0.033246585241073046
2015-12-07,AAPL,26.6190128326416,128336800,-0.006300890838435214
2015-12-08,AAPL,26.607759475708008,137238000,-0.00042275635856015015
2015-12-09,AAPL,26.020374298095703,185445600,-0.02207570983752194
2015-12-10,AAPL,26.14414978027344,116850800,0.004756867858999092
2015-12-11,AAPL,25.47125625610352,187544800,-0.025737823942457716
2015-12-14,AAPL,25.31371307373047,257274800,-0.0061851359347577795
2015-12-15,AAPL,24.865863800048828,213292400,-0.017691962944243023
2015-12-16,AAPL,25.057159423828125,224954000,0.0076931018893025005
2015-12-17,AAPL,24.526033401489254,179091200,-0.02119657752721149
2015-12-18,AAPL,23.86213493347168,385813200,-0.027069133322523364
2015-12-21,AAPL,24.15470314025879,190362400,0.012260772458239755
2015-12-22,AAPL,24.132200241088867,131157600,-0.0009316156377188189
2015-12-23,AAPL,24.44276237487793,130629600,0.012869200930144764
2015-12-24,AAPL,24.31224250793457,54281600,-0.005339816545347098
2015-12-28,AAPL,24.03993034362793,106816800,-0.011200618956386577
2015-12-29,AAPL,24.472021102905277,123724800,0.017973877340783373
2015-12-30,AAPL,24.1524600982666,100855200,-0.013058218742739602
2015-12-31,AAPL,23.688852310180664,163649200,-0.01919505450789294
2016-01-04,AAPL,23.709104537963867,270597600,0.0008549265079633717
2016-01-05,AAPL,23.114974975585938,223164000,-0.025059131247516686
2016-01-06,AAPL,22.662612915039062,273829600,-0.019570086535878217
2016-01-07,AAPL,21.706151962280277,324377600,-0.042204354649859055
2016-01-08,AAPL,21.82092666625977,283192000,0.005287657811432478
2016-01-11,AAPL,22.174259185791016,198957600,0.01619237005537344
2016-01-12,AAPL,22.49608039855957,196616800,0.014513279116660449
2016-01-13,AAPL,21.917699813842773,249758400,-0.025710282612335877
2016-01-14,AAPL,22.39705848693848,252680400,0.021870847633060242
2016-01-15,AAPL,21.85918426513672,319335600,-0.02401539568758282
2016-01-19,AAPL,21.75341415405273,212350800,-0.004838703485046336
2016-01-20,AAPL,21.782665252685547,289337600,0.0013446670221817225
2016-01-21,AAPL,21.67239570617676,208646000,-0.0050622614464127524
2016-01-22,AAPL,22.824657440185547,263202000,0.05316725246394349
