date,close,volume,returns
2015-02-01,12116.6,1.0,0.004135347692409752
2015-03-01,12176.1,1.0,0.004910618490335583
2015-04-01,12209.1,1.0,0.0027102274127184245
2015-05-01,12275.4,1.0,0.005430375703368684
2015-06-01,12307.9,1.0,0.002647571565896012
2015-07-01,12364.9,1.0,0.004631171848975102
2015-08-01,12396.2,1.0,0.002531358927286176
2015-09-01,12386.4,1.0,-0.0007905648505187601
2015-10-01,12394.9,1.0,0.0006862365174706841
2015-11-01,12423.2,1.0,0.002283197121396796
2015-12-01,12452.0,1.0,0.002318243286753674
2016-01-01,12478.0,1.0,0.0020880179890780948
2016-02-01,12554.5,1.0,0.006130790190735702
2016-03-01,12537.0,1.0,-0.0013939224979091502
2016-04-01,12611.5,1.0,0.00594241046502364
2016-05-01,12652.7,1.0,0.003266859612258699
2016-06-01,12731.2,1.0,0.0062042093782355145
2016-07-01,12756.7,1.0,0.002002953374387273
2016-08-01,12788.1,1.0,0.0024614516293397504
2016-09-01,12846.6,1.0,0.0045745654162854255
2016-10-01,12867.0,1.0,0.0015879688010835835
2016-11-01,12893.0,1.0,0.0020206730395586625
2016-12-01,13005.9,1.0,0.00875668967656873
2017-01-01,13063.7,1.0,0.00444413689171852
2017-02-01,13088.4,1.0,0.0018907353965567086
2017-03-01,13139.9,1.0,0.003934781944317178
2017-04-01,13169.2,1.0,0.0022298495422341524
2017-05-01,13171.9,1.0,0.0002050238435136187
2017-06-01,13225.2,1.0,0.004046492912943567
2017-07-01,13263.3,1.0,0.0028808638054622637
2017-08-01,13294.6,1.0,0.0023598953503276565
2017-09-01,13417.3,1.0,0.009229311148887476
2017-10-01,13447.5,1.0,0.00225082542687427
2017-11-01,13540.6,1.0,0.006923219929354962
2017-12-01,13666.1,1.0,0.00926842237419323
2018-01-01,13703.3,1.0,0.002722064085584064
2018-02-01,13738.7,1.0,0.0025833193464348536
2018-03-01,13793.2,1.0,0.003966896431248923
2018-04-01,13838.4,1.0,0.00327697706116048
2018-05-01,13905.0,1.0,0.0048126951092613
2018-06-01,13930.4,1.0,0.0018266810499820707
2018-07-01,13974.8,1.0,0.0031872738758398356
