date,close,volume,returns,rolling_vol,regime
2015-01-05,166.62335205078125,169632600,-0.0180594480849654,,neutral
2015-01-06,165.05393981933594,209151400,-0.0094189212504079,,neutral
2015-01-07,167.11070251464844,125346700,0.0124611548052944,,neutral
2015-01-08,170.0760498046875,147217800,0.0177448077556798,,neutral
2015-01-09,168.71319580078125,158567300,-0.0080132035373077,,neutral
2015-01-12,167.39154052734375,144396100,-0.0078337397804859,,neutral
2015-01-13,166.92071533203125,214553300,-0.0028127179774392,,neutral
2015-01-14,165.91293334960938,192991100,-0.006037488998398,,neutral
2015-01-15,164.3931121826172,176613900,-0.0091603537850158,,neutral
2015-01-16,166.5490264892578,211879600,0.0131143834313793,,neutral
2015-01-20,166.90419006347656,130991100,0.0021324866419538,,neutral
2015-01-21,167.7467498779297,122942700,0.0050481645435784,,neutral
2015-01-22,170.24130249023438,174356000,0.0148709445287016,,neutral
2015-01-23,169.30789184570312,117516800,-0.0054828683220676,,neutral
2015-01-26,169.70433044433594,92009700,0.0023415246289528,,neutral
2015-01-27,167.4658660888672,134044600,-0.0131903785225031,,neutral
2015-01-28,165.31822204589844,168514300,-0.0128243688885775,,neutral
2015-01-29,166.8463897705078,173585400,0.0092437948200598,,neutral
2015-01-30,164.7482452392578,197729700,-0.0125753067485363,,neutral
2015-02-02,166.78855895996094,163107000,0.0123844337021012,,neutral
2015-02-03,169.2005615234375,124212900,0.0144614389531094,,neutral
2015-02-04,168.55618286132812,134306700,-0.0038083718890029,,neutral
2015-02-05,170.2578125,97953200,0.0100953261386549,,neutral
2015-02-06,169.78697204589844,125672000,-0.0027654557942917,,neutral
2015-02-09,169.0270233154297,87219000,-0.0044758954194866,,neutral
2015-02-10,170.82772827148438,96164200,0.0106533554264534,,neutral
2015-02-11,170.92691040039062,91087800,0.0005805973650168,,neutral
2015-02-12,172.5706024169922,97545900,0.0096163442769268,,neutral
2015-02-13,173.28099060058594,93670400,0.0041165075258715,,neutral
2015-02-17,173.55361938476562,76968200,0.0015733334812708,0.00998754879926178,neutral
2015-02-18,173.57009887695312,80652900,9.495331901421268e-05,0.009334103473826676,neutral
2015-02-19,173.44618225097656,91462500,-0.0007139284172696,0.00911886040669593,neutral
2015-02-20,174.4869842529297,140896400,0.0060007201567982,0.008930166235500938,neutral
2015-02-23,174.4622344970703,74411100,-0.0001418429917012,0.008387357480668578,neutral
2015-02-24,174.9577178955078,72472300,0.0028400610588639,0.008222854352843716,neutral
2015-02-25,174.80909729003906,73061700,-0.0008494658438418,0.008054092920198111,neutral
2015-02-26,174.60260009765625,72697900,-0.0011812725743912,0.008029595719793432,neutral
2015-02-27,174.0078887939453,108076000,-0.0034060850375556,0.007958110773046354,neutral
2015-03-02,175.10643005371094,87491400,0.0063131692900801,0.007733604571856369,neutral
2015-03-03,174.38783264160156,110325800,-0.0041037751262986,0.0075268772386700095,neutral
2015-03-04,173.65272521972656,114497200,-0.0042153595852399,0.007599153278939074,neutral
2015-03-05,173.84268188476562,76873000,0.0010938881886173,0.007567021975799111,neutral
2015-03-06,171.39772033691406,188128000,-0.014064218990088,0.007610749281436089,neutral
2015-03-09,172.10801696777344,89818900,0.0041441428127699,0.0075633411368704806,neutral
2015-03-10,169.31610107421875,157121300,-0.0162218817155824,0.008150381174969303,neutral
2015-03-11,168.91964721679688,110145700,-0.0023415012211277,0.007779204519060445,neutral
2015-03-12,171.0672607421875,93993500,0.0127138172543914,0.007688297189709554,neutral
2015-03-13,170.0182647705078,162410900,-0.0061320673934249,0.00764379737058414,neutral
2015-03-16,172.289794921875,136099200,0.0133605066163526,0.007561943096619224,neutral
2015-03-17,171.77767944335938,94510400,-0.0029724074995146,0.007316993029127113,neutral
2015-03-18,173.84268188476562,228808500,0.0120213665017354,0.007174470992301433,neutral
2015-03-19,173.0497589111328,117917300,-0.0045611524456256,0.007192898553219395,neutral
2015-03-20,174.5772705078125,177715100,0.0088270079443688,0.007140539385355027,neutral
2015-03-23,174.23704528808594,71784500,-0.0019488517533634,0.0071277870064198785,neutral
2015-03-24,173.2579803466797,77805300,-0.0056191548690891,0.007160431704449092,neutral
2015-03-25,170.71913146972656,159521700,-0.014653575390138,0.007450409845933001,neutral
2015-03-26,170.31253051757812,153067200,-0.0023816952947686,0.0074621482080797765,neutral
2015-03-27,170.70248413085938,118939000,0.0022896354842252,0.007250305747995653,neutral
2015-03-30,172.7850799560547,96180400,0.012200149492838,0.007564924050144938,neutral
2015-03-31,171.27496337890625,126768700,-0.0087398551861799,0.007720503393123697,neutral
2015-04-01,170.66934204101562,137303600,-0.0035359595234641,0.007740721740665573,neutral
2015-04-02,171.2832794189453,86900900,0.0035972329335056,0.007777172559898409,neutral
2015-04-06,172.4365692138672,114368200,0.0067332304637921,0.0077990442788143126,neutral
2015-04-07,171.98023986816406,81236300,-0.0026463606170287,0.007809975341764084,neutral
2015-04-08,172.56097412109375,89351900,0.0033767498718157,0.007818376916576148,neutral
2015-04-09,173.3243865966797,85548900,0.0044240157977446,0.007867750319216488,neutral
2015-04-10,174.2702178955078,72722900,0.0054570006990939,0.007933853054113673,neutral
2015-04-13,173.4819793701172,74436600,-0.0045230822277576,0.00795282665536807,neutral
2015-04-14,173.81387329101562,75099900,0.0019131319696921,0.007871196037314081,neutral
2015-04-15,174.59375,99529300,0.0044868496065249,0.007881175179653695,neutral
2015-04-16,174.54400634765625,68934900,-0.0002849108421335,0.007840052498854343,neutral
2015-04-17,172.53611755371094,191113200,-0.0115036249938368,0.008122812243487584,neutral
2015-04-20,174.1125946044922,92189500,0.0091370842994105,0.007859431135934255,neutral
2015-04-21,173.9051971435547,72559800,-0.0011911686309,0.0078357167063826,neutral
