date,close,volume,returns,rolling_vol,regime
2015-02-01,12116.6,1.0,0.0041353476924097,,neutral
2015-03-01,12176.1,1.0,0.0049106184903355,,neutral
2015-04-01,12209.1,1.0,0.0027102274127184,,neutral
2015-05-01,12275.4,1.0,0.0054303757033686,,neutral
2015-06-01,12307.9,1.0,0.002647571565896,,neutral
2015-07-01,12364.9,1.0,0.0046311718489751,,neutral
2015-08-01,12396.2,1.0,0.0025313589272861,,neutral
2015-09-01,12386.4,1.0,-0.0007905648505187,,neutral
2015-10-01,12394.9,1.0,0.0006862365174706,,neutral
2015-11-01,12423.2,1.0,0.0022831971213967,,neutral
2015-12-01,12452.0,1.0,0.0023182432867536,,neutral
2016-01-01,12478.0,1.0,0.002088017989078,0.001783245500390214,stable
2016-02-01,12554.5,1.0,0.0061307901907357,0.001999201110318784,stable
2016-03-01,12537.0,1.0,-0.0013939224979091,0.0022535722042873155,stable
2016-04-01,12611.5,1.0,0.0059424104650236,0.002471504280746951,stable
2016-05-01,12652.7,1.0,0.0032668596122586,0.0023297639276416877,stable
2016-06-01,12731.2,1.0,0.0062042093782355,0.0025610490553751777,neutral
2016-07-01,12756.7,1.0,0.0020029533743872,0.0025042817613362867,stable
2016-08-01,12788.1,1.0,0.0024614516293397,0.0025045520099525004,stable
2016-09-01,12846.6,1.0,0.0045745654162854,0.0023160498073154113,stable
2016-10-01,12867.0,1.0,0.0015879688010835,0.002246059364778582,stable
2016-11-01,12893.0,1.0,0.0020206730395586,0.002256230102491496,stable
2016-12-01,13005.9,1.0,0.0087566896765687,0.0027621519355527876,neutral
2017-01-01,13063.7,1.0,0.0044441368917185,0.002725541756919443,neutral
2017-02-01,13088.4,1.0,0.0018907353965567,0.0026749801241894655,neutral
2017-03-01,13139.9,1.0,0.0039347819443171,0.0021908338115153355,stable
2017-04-01,13169.2,1.0,0.0022298495422341,0.0021414630525192894,stable
2017-05-01,13171.9,1.0,0.0002050238435136,0.0023581076335185526,stable
2017-06-01,13225.2,1.0,0.0040464929129435,0.002198318604577479,stable
2017-07-01,13263.3,1.0,0.0028808638054622,0.002170026234559223,stable
2017-08-01,13294.6,1.0,0.0023598953503276,0.0021735880103974426,stable
2017-09-01,13417.3,1.0,0.0092293111488874,0.00276692266445426,neutral
2017-10-01,13447.5,1.0,0.0022508254268742,0.0027287554352601177,neutral
2017-11-01,13540.6,1.0,0.0069232199293549,0.0028219338168140886,neutral
2017-12-01,13666.1,1.0,0.0092684223741932,0.002901512652659979,neutral
